reversion_fraction,state_exit,minimum_logit_residual,maximum_selected_entry_latency,maximum_inning,side_filter,trades,pnl,capital,roi,reversion_exits,thesis_invalidations,timeout_exits,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
0.5,next_plate_appearance,0.2,10.0,99,no,25,23.862543791470273,250.0,0.09545017516588108,9,1,1,9,11.322681241613019,0.12580756935125575,6,-2.5450663637702204,-0.04241777272950367,10,15.084928913627467,0.15084928913627466,6,2,-0.04241777272950367
0.5,next_plate_appearance,0.3,10.0,6,no,7,6.589585002122919,70.0,0.09413692860175599,2,0,0,3,4.943622269203664,0.16478740897345548,2,0.21739130434782508,0.010869565217391254,2,1.42857142857143,0.0714285714285715,2,3,0.010869565217391254
0.75,next_plate_appearance,0.3,10.0,6,no,7,6.589585002122919,70.0,0.09413692860175599,2,0,0,3,4.943622269203664,0.16478740897345548,2,0.21739130434782508,0.010869565217391254,2,1.42857142857143,0.0714285714285715,2,3,0.010869565217391254
0.5,next_plate_appearance,0.16,7.0,9,no,20,18.784935963233597,200.0,0.09392467981616798,4,1,1,6,15.352321004494915,0.2558720167415819,6,-2.5450663637702204,-0.04241777272950367,8,5.977681322508911,0.07472101653136139,6,2,-0.04241777272950367
0.5,next_plate_appearance,0.16,7.0,99,no,20,18.784935963233597,200.0,0.09392467981616798,4,1,1,6,15.352321004494915,0.2558720167415819,6,-2.5450663637702204,-0.04241777272950367,8,5.977681322508911,0.07472101653136139,6,2,-0.04241777272950367
1.0,next_plate_appearance,0.3,10.0,9,no,15,14.063658243459585,150.0,0.0937577216230639,4,0,1,7,9.19170411063589,0.13131005872336984,4,0.6521739130434765,0.01630434782608691,4,4.21978021978022,0.1054945054945055,4,3,0.01630434782608691
1.0,next_plate_appearance,0.3,10.0,99,no,15,14.063658243459585,150.0,0.0937577216230639,4,0,1,7,9.19170411063589,0.13131005872336984,4,0.6521739130434765,0.01630434782608691,4,4.21978021978022,0.1054945054945055,4,3,0.01630434782608691
1.0,none,0.2,7.0,6,yes,3,2.8067588325652846,30.0,0.09355862775217615,1,0,2,2,3.7591397849462362,0.1879569892473118,1,-0.9523809523809519,-0.09523809523809519,0,0.0,0.0,0,1,-0.09523809523809519
0.5,next_pitch,0.3,10.0,6,both,9,8.380877093920574,90.0,0.0931208565991175,2,0,4,4,7.303030303030302,0.18257575757575756,2,-0.21739130434782628,-0.010869565217391314,3,1.2952380952380964,0.04317460317460321,2,2,-0.010869565217391314
0.75,next_pitch,0.3,10.0,6,both,9,8.380877093920574,90.0,0.0931208565991175,2,0,4,4,7.303030303030302,0.18257575757575756,2,-0.21739130434782628,-0.010869565217391314,3,1.2952380952380964,0.04317460317460321,2,2,-0.010869565217391314
