inning_topbot_after,delta_inning,delta_outs,delta_score_diff,delta_runner_on_first,delta_runner_on_second,delta_runner_on_third,count_reset,transitions,mean,std,median,minimum,maximum,positive_rate
1.0,0,2,0,-1.0,-1.0,1.0,True,27,-0.0121807020875896,0.0066694692048013355,-0.011969457000636785,-0.021714843260804195,-0.004211045035656988,0.0
0.0,0,1,-1,-1.0,1.0,-1.0,True,26,0.0697650209532082,0.05438459787580262,0.06930168855495983,-0.006048819436009101,0.19130214260267853,0.7692307692307693
0.0,0,2,0,-1.0,-1.0,1.0,True,26,-0.010840277400520678,0.0076265910348073136,-0.006424975106521069,-0.02382797223557409,-0.003911301732767547,0.0
0.0,0,0,-1,1.0,-1.0,0.0,False,25,0.1141644042091939,0.06409791916518033,0.12705220559448893,-0.0,0.2142788241390482,0.84
0.0,0,0,-3,0.0,-1.0,-1.0,True,25,0.12813429402313808,0.14462295992136054,0.09590096509436297,-0.0,0.4577830346256444,0.68
0.0,1,-1,0,-1.0,0.0,-1.0,True,25,0.030335831302136008,0.02295268110214924,0.027738551905362424,0.005368302903106303,0.09079041592384562,1.0
0.0,1,-2,0,0.0,-1.0,-1.0,False,25,0.023045601806681186,0.02151957178306058,0.02070274709417677,-0.0004155743077390167,0.07029810853954777,0.84
1.0,0,-2,0,-1.0,-1.0,-1.0,False,24,0.029544497913546047,0.02341236993387709,0.025598294512606687,-0.0003799044600915902,0.07089749139662571,0.9583333333333334
1.0,0,1,0,1.0,-1.0,0.0,True,24,-0.009705155475374606,0.008158673344475514,-0.008581710746125834,-0.021074238367274567,0.0,0.0
1.0,0,0,1,-1.0,1.0,0.0,False,24,0.06736159174114174,0.06798138210884269,0.05225299216401273,0.0,0.18036765970481505,0.6666666666666666
0.0,0,1,-1,-1.0,0.0,0.0,True,23,0.0835129842423496,0.06581065978435724,0.10640418399044871,-0.005628759234995617,0.19130214260267853,0.7391304347826086
0.0,1,-2,0,0.0,1.0,0.0,True,23,0.07554522578938426,0.0021803179369393336,0.0744743568478311,0.07278903175084495,0.07868786270639416,1.0
0.0,0,1,-1,0.0,-1.0,0.0,False,23,0.07432864397749149,0.06501459034638853,0.10748384930253563,-0.006198868960389903,0.18960700781569084,0.6956521739130435
0.0,0,0,-1,-1.0,0.0,0.0,False,22,0.08650559126802157,0.06637100128058152,0.08378862616412286,-0.0,0.2142788241390482,0.8181818181818182
1.0,0,0,1,0.0,1.0,-1.0,False,22,0.08227012158583193,0.0615343935411164,0.06918939779440969,0.0,0.1837332151008193,0.8181818181818182
0.0,0,0,-2,0.0,-1.0,0.0,False,22,0.14116998853303073,0.1251349497948939,0.12622813866350174,-0.0,0.3317103416765199,0.7272727272727273
1.0,0,0,1,1.0,0.0,-1.0,False,22,0.08289862246779355,0.07111851394053391,0.08232013692775389,0.0,0.2239792504441085,0.6818181818181818
1.0,0,0,2,0.0,-1.0,0.0,False,22,0.19512912747409725,0.11388855553749132,0.21874533225238116,0.0,0.3550350409337921,0.9090909090909091
1.0,0,0,4,-1.0,-1.0,-1.0,True,22,0.20616517656364913,0.18296271089000293,0.16630507717233267,0.0,0.5074962072494954,0.7727272727272727
1.0,0,1,0,-1.0,0.0,1.0,False,21,-0.0018615050597943852,0.005288488948575477,0.0,-0.02037346278208907,0.0,0.0
0.0,0,0,-1,0.0,-1.0,1.0,False,21,0.10002203228202346,0.07186761984554199,0.1146880016288232,-0.0,0.2012356713826221,0.8095238095238095
0.0,0,0,-1,-1.0,1.0,0.0,False,20,0.1100747592072979,0.05198928607901917,0.11798983078241193,-0.0,0.19514917896702932,0.9
1.0,0,0,3,-1.0,-1.0,0.0,False,19,0.2424773623437524,0.1508202154587944,0.2876528707276361,0.0,0.48310156050509967,0.8947368421052632
1.0,0,1,1,-1.0,0.0,0.0,True,19,0.08461214165002262,0.06418673383789683,0.10911887056986802,-0.005895499695644957,0.16823250912117627,0.7368421052631579
0.0,0,0,-4,-1.0,-1.0,-1.0,True,19,0.18160397283234986,0.1935522574147491,0.1767573666921659,-0.0,0.5590025664910088,0.6842105263157895
1.0,0,-2,0,0.0,-1.0,-1.0,False,19,0.02452370811502707,0.01832279108864752,0.02290674830806705,0.0014481413003566423,0.05833387039844212,1.0
0.0,0,0,-1,1.0,0.0,-1.0,False,19,0.09202331678600084,0.06721229515423656,0.07748706338460865,-0.0,0.2012356713826221,0.7894736842105263
1.0,0,0,0,1.0,-1.0,1.0,False,19,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,-1,-1.0,1.0,-1.0,False,19,0.09822035974593037,0.05316226904002809,0.10729819363255944,-0.0,0.1741427088763593,0.9473684210526315
0.0,0,0,0,1.0,-1.0,1.0,False,19,0.0,0.0,-0.0,-0.0,-0.0,0.0
1.0,0,-1,0,-1.0,-1.0,0.0,False,17,0.03431922319239646,0.022078005666928434,0.03559156909167022,0.0058123243784831136,0.0785933856624868,1.0
1.0,0,0,1,-1.0,0.0,0.0,False,17,0.09192991612958552,0.049189302405150695,0.0957607575742222,0.022389513847687836,0.18654904246869503,1.0
1.0,0,0,1,-1.0,1.0,-1.0,False,17,0.0955205719096813,0.05745260700360066,0.09851819264518413,0.0,0.16972350867558822,0.8823529411764706
1.0,0,1,1,-1.0,1.0,-1.0,True,17,0.07288724903322508,0.07509607165801867,0.0659896313349089,-0.006671571012746735,0.19585987264633392,0.6470588235294118
0.0,0,0,-2,0.0,0.0,-1.0,False,16,0.1677071482064973,0.12361555655296234,0.20700999744835946,-0.0,0.32797934008871077,0.875
1.0,0,0,1,-1.0,0.0,1.0,False,16,0.10855845425286956,0.04830012196678972,0.11847753580209501,0.0,0.18036765970481505,0.9375
1.0,0,1,1,0.0,-1.0,0.0,False,16,0.054541844237970344,0.04762332962257394,0.05402198255942303,-0.006625402778099199,0.15357843389916054,0.8125
